0,dsp_mngr_tx_config_hndlr
1,dsp_mngr_rx_config_hndlr
5,dsp_mngr_next_cmd_hndlr
2,dsp_mngr_tx_done_hndlr
3,dsp_mngr_rx_done_hndlr
4,dsp_mngr_exception_hndlr
6,dsp_sml1_pcm_listener_field_on_off_loop
7,dsp_mngr_sml1_lpcd_ast_hndlr
8,dsp_mngr_rx_ceb_switch
9,dsp_mngr_termination_req_hndlr
16,dsp_sml1_pcm_listener_field_on_off_loop
17,dsp_sml1_pcm_listener_field_off_loop
33,dsp_slicing_patch
24,dsp_sml1_pcm_listener_field_off_reduced
23,dsp_sml1_pcm_listener_field_on_off_loop
22,dsp_sml1_pcm_listener_field_on_off_loop
21,dsp_sml1_pcm_listener_field_off_loop
18,dsp_sml1_pcm_listener_field_off_reduced
34,dsp_slicing_mdm_rx_patch
